,DRUG_NAME,DRUG_NAME_ALT,SMILES,drug_id
1908,BRD-K08138578,,Nc1c(Br)cccc1C(O)=O,56.0
1974,BRD-K54252101,,CC(=O)Nc1ccccc1C(=O)Nc1ccccc1,57.0
2040,BRD-A89935855,,CCCN1C(=O)CC(N2CCN(CC)CC2)C1=O,58.0
2106,BRD-K43979423,,Oc1ccc(CCNC(=O)C(F)(F)F)cc1,59.0
2172,BRD-K24770501,,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,60.0
2238,BRD-K43984153,,Cc1cc(C)c(NC(=O)C(F)(F)F)c(Cl)c1,61.0
2304,BRD-K75009379,,COc1nc2ccccc2nc1N1CCCCCC1,62.0
2370,BRD-K05325665,,Cn1ncc2c(NC3CCCC3)ncnc12,63.0
2436,BRD-A98989031,,COc1ccc(cc1C)C(CC(O)=O)C(C)C,64.0
2502,BRD-K53974757,,Nc1ccc(Oc2ccc(Cl)cc2Cl)nc1,65.0
2567,BRD-K13316343,,Cc1cccc(c1)-c1nc(no1)-c1ccc(F)cc1,66.0
2633,BRD-K14161285,,CC(C)c1ccc(NC(=O)c2ccccc2C)cc1,67.0
2699,BRD-K86975297,,CCC(=O)N1CCC[C@H]1C(=O)NC1CCCCC1,68.0
2765,BRD-K70008757,,COc1cc(ccc1Br)[N+]([O-])=O,69.0
2831,BRD-K62446539,,CN(C)C(=O)N1CCN(CC1)C(=O)OC(C)(C)C,70.0
2897,BRD-K13597326,,CC(C)(C)C(=O)NNC(=O)c1cccc(Cl)c1,71.0
2963,BRD-K62691356,,CN(C)CCNC(=O)COc1cccc(Cl)c1,72.0
3029,BRD-K48954462,,OC(=O)c1cc(ncn1)-c1ccc(F)cc1F,73.0
3095,BRD-A52743324,,OC(c1ccccc1)c2nccc3ccccc23,74.0
3161,BRD-K57879267,,OC(=O)Cc1cc(=O)oc2c1ccc1ccccc21,75.0
3227,BRD-K21333213,,COc1ccc(CNC(=O)CCC(O)=O)cc1O,76.0
3293,BRD-K34899038,,C(Oc1ccccc1)c2nnnn2c3ccccc3,77.0
3359,BRD-A33558703,,CCC12OC3C(O)C4CC3C1C4C(=O)N2C(C)C,78.0
3425,BRD-K03968303,,Cc1ccccc1NC=C1C(=O)CC(C)(C)CC1=O,79.0
3491,BRD-K53060478,,O=c1[nH]cc(NCc2ccccc2)c(=O)[nH]1,80.0
3557,BRD-A81600970,,CC(C)CC(N)C(=O)c1cc(C)ccc1C,81.0
3622,BRD-K10367233,,COc1ccc(cc1)-c1noc(CC(O)=O)n1,82.0
3688,BRD-K45123684,,CCc1cccc(C)c1NC(=O)CCC(O)=O,83.0
3754,BRD-K86580035,,CC(=CC(=O)Nc1ccc(Br)cc1)C,84.0
3820,BRD-K52418963,,CCOC(=O)c1cnc2c(F)cc(F)cc2c1O,85.0
3885,BRD-K49191121,,COCCc1nc2n(C)c(=O)n(C)c(=O)c2n1C,86.0
3951,BRD-A44492535,,CC(=O)c1cccc(NC2CS(=O)(=O)C=C2)c1,87.0
4017,BRD-K55139639,,C(Sc1n[nH]c(n1)c2ccco2)c3ccccc3,88.0
4083,BRD-K61901354,,Oc1nc(nc2ccccc12)-c1ccccc1Cl,89.0
4149,BRD-A58449368,,COc1ccc(cc1C)C(=O)C1CCCN1,90.0
4215,BRD-A16718110,,O=C(COc1ccccc1)NCC2CCCO2,91.0
4281,BRD-K62230913,,CCc1nc2sc3CCCCc3c2c(=O)[nH]1,92.0
4347,BRD-K85445560,,NS(=O)(=O)c1ccc(Cl)c2nonc12,93.0
4413,BRD-K63102122,,CC(=O)Nc1cccc(c1)S(N)(=O)=O,94.0
4479,BRD-K95797465,,CC(C)Cn1c(O)nc2n(C)c(=O)n(C)c(=O)c12,95.0
4545,BRD-K62450749,,COc1ccc2[nH]c(cc(=O)c2c1)c3ccccc3,96.0
4611,BRD-K31034550,,Cc1cc(C)c(cc1C)S(=O)(=O)NCC(=O)O,97.0
4677,BRD-K50943246,,Cn1nc(cc1C(O)=O)-c1cccc(Cl)c1,98.0
4743,BRD-K79375072,,COc1cccc(c1)C(=O)CN1CCCC1,99.0
4809,BRD-K25630430,,CCOC(=O)c1cc(=O)c2ccc(F)cc2[nH]1,100.0
4875,BRD-K22228334,,OC(=O)C1CCC(CC1)OCc1ccccc1,101.0
4941,BRD-K86487510,,CN(Cc1ccccc1)c1ccc(Cl)nn1,102.0
5007,BRD-K00724151,,COC(=O)CCNC(=O)c1ccc(cc1)[N+]([O-])=O,103.0
5072,BRD-K90077092,,CC1(C)N=C(N)NC(=N1)Nc2ccccc2Cl,104.0
5138,BRD-K62003715,,COCC(=O)NCCc1nc2cc(F)ccc2[nH]1,105.0
5204,BRD-K10760291,,Cc1cc(C)n2ncc(-c3ccc(Cl)cc3)c2n1,106.0
5270,BRD-K31997073,,Oc1coc(CN2CCc3ccccc3C2)cc1=O,107.0
5336,BRD-K32620537,,CCN(CC)S(=O)(=O)c1ccc2cc(C)ccc2c1,108.0
5402,BRD-A45641627,,CCN1CCN(CC1)C(=O)C2COc3ccccc3O2,109.0
5468,BRD-K71412010,,OC(=O)/C=C/c1cccc(OCc2ccccc2)c1,110.0
5534,BRD-A13827564,,CCCNC(=O)C1CSCN1C(=O)OC(C)(C)C,111.0
5600,BRD-K79308126,,CN1CCC(CC1)Oc1ccc(cn1)[N+]([O-])=O,112.0
5666,BRD-A92121263,,OC(=O)CC(C(O)=O)c1ccc(Br)cc1,113.0
5732,BRD-K44458508,,OC(=O)Cc1cnnn1-c1ccc(Cl)cc1Cl,114.0
5798,BRD-K29190165,,CCCCn1c(=O)[nH]c2sc3CCCCc3c2c1=O,115.0
5864,BRD-K04440070,,CCOc1ccc(\C=N\Nc2nc(C)cs2)c(O)c1,116.0
5930,BRD-K57585340,,Fc1ccccc1CSc1nc2CCCc2c(=O)[nH]1,117.0
5996,BRD-K23005344,,FC(F)(F)C(=O)NCCc1ccc2cc[nH]c2c1,118.0
6062,BRD-K95643589,,O=C(CSc1nc2ccccc2[nH]1)N3CCCCC3,119.0
6128,BRD-K00014990,,COC(=O)c1cccc2\C(=N/O)c3ccccc3-c12,120.0
6194,BRD-A09613457,,O=C(NCC(N1CCCC1)c1ccccc1)NC1CC1,121.0
6260,BRD-K56962705,,OC(=O)c1ccc2[nH]c(nc2c1)-c1ccccc1Cl,122.0
6326,BRD-K31921200,,Nc1nc(=O)[nH]cc1NC(=O)c1ccccc1,123.0
6392,BRD-A34399642,,Cc1ccccc1c2nnnn2C3CCS(=O)(=O)C3,124.0
6458,BRD-K29175458,,CC(C)Nc1nc(cs1)C(=O)Nc1ccccc1O,125.0
6524,BRD-K02577675,,Cc1cc(SCC(=O)c2ccc(O)cc2O)ncn1,126.0
6590,BRD-K89907520,,O=S(=O)(N1CCCCC1)c2cccc3ccccc23,127.0
6656,BRD-K33839192,,O=C(Nc1nc2CCCCc2s1)Oc3ccccc3,128.0
6722,BRD-K00150269,,CCc1nc(SCC(=O)O)c(C#N)c2CCCCc12,129.0
6788,BRD-K01999361,,O=c1[nH]c(=S)[nH]c2CCN(Cc3ccccc3)Cc12,130.0
6854,BRD-A57711186,,COC(=O)C1CC1NC(=O)OC(C)(C)C,131.0
6920,BRD-K27454408,,COC(=O)N1CCN(CC(C)(C)C)CC1,132.0
6986,BRD-K98403250,,O=c1[nH]cnc2scc(-c3ccc4ccccc4c3)c12,133.0
7052,BRD-K59372411,,N#Cc1nc(oc1NCc1ccncc1)-c1cccnc1,134.0
7118,BRD-K41709248,,C(Nc1nn2cnnc2c2ccccc12)c1ccncc1,135.0
7184,BRD-K46199199,,Cc1ccc(cc1)-c1nc(C)nc(n1)-c1ccc(C)cc1,136.0
7250,BRD-K03845549,,CC(=O)c1ccccc1S(=O)(=O)c1ccc(C)cc1,137.0
7316,BRD-K88784417,,Cc1nnc2ccc(nn12)N1CCCCCC1,138.0
7382,BRD-K63720357,,Clc1ccc2nnc(-c3ccccc3)n2n1,139.0
7448,BRD-K82376716,,COCCNC(=O)c1c(N)sc2CCCCc12,140.0
7514,BRD-K41350308,,CN(C)CCNc1ccc(CN)cc1,141.0
7580,BRD-K65268687,,COc1ccc(cc1)S(=O)(=O)NCc1ccncc1,142.0
7643,BRD-K39247371,,CC(=O)N1CCOc2ccc(cc12)C(=O)CCC(O)=O,143.0
7709,BRD-A85120333,,COC(=O)C1C2NC(=O)N(C)[C@@]1(C)Oc1ccccc21,144.0
7775,BRD-K81680825,,CCN(CC)Cc1c(O)ccc2c(C)c(C)c(=O)oc12,145.0
7841,BRD-K89215532,,COc1ccc2nc(NC(=O)c3ccco3)sc2c1,146.0
7907,BRD-A82661672,,CC(C)Cc1ccc(cc1)C(C)C(=O)Nc1nnn[nH]1,147.0
7973,BRD-K38090505,,CCCCSc1nnc2c3ccccc3n(C)c2n1,148.0
8039,BRD-K21792373,,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCCCO,149.0
8105,BRD-A72394376,,CC(C(=O)O)n1cnc2sc3CCCCc3c2c1=O,150.0
8171,BRD-K84862445,,Cc1cc2oc(=O)cc(Cn3ccnc3)c2cc1Cl,151.0
8237,BRD-K42892679,,OC(=O)Cn1nnc(C(O)=O)c1COc1ccccc1,152.0
8303,BRD-A11238157,,CC(N1C(=O)N[C@@H](CCC(O)=O)C1=O)c1ccccc1,153.0
8369,BRD-K71892796,,O=C(CCC(=O)Nc1ccccc1)NNC(=O)C1CC1,154.0
8435,BRD-K33102955,,CCOc1ccccc1NC(=O)Nc1ccccc1F,155.0
8501,BRD-K36866620,,CCCCOc1ccc(cc1)C(=O)NCc2ccco2,156.0
8567,BRD-K88587423,,O=C(Nc1ccccn1)C1(CCCCC1)n1cnnn1,157.0
